row_id,teamAttack,teamDefense,date,Level,Comp,Zone,Origin,Start,Pass,Ruck,Clear,Contest,Score,Retain NEG,Retain Gain 1,Retain Gain +1,Retain Score,Retain HR neg,Retain HR Static,Retain HR Gain 1,Retain HR Gain +1,Lose gain neg,Lose Static,Lose Gain 1,Lose Gain +1,Lose HR neg,Lose HR Static,Lose HR Gain 1,Lose HR Gain +1,OUTCOME,game_id,retainedPosession,lostPosession,map_dic,time,outcome_score,related_score,team_scored,passRuckRatio,nextOrigin,play,time_bin
5161,FRA,ITA,2022-02-05,Elite Men International,6 Nations 2022,Own 50,Kick fielded,1,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Win,0,0.0,1.0,2,16.5,0.8117506335169643,44,FRA,,Kick fielded,Kick for Position,15.0
5162,ITA,FRA,2022-02-05,Elite Men International,6 Nations 2022,Own 22,Kick fielded,1,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Lose,0,0.0,1.0,2,16.77,-0.8802387622554262,44,FRA,,Kick fielded,Kick for Position,15.0
5163,FRA,ITA,2022-02-05,Elite Men International,6 Nations 2022,Own 22,Kick fielded,1,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Win,0,0.0,1.0,2,17.03,0.9516460709140501,44,FRA,,Penalty,,15.0
5164,ITA,FRA,2022-02-05,Elite Men International,6 Nations 2022,Own 50,Penalty,1,0.0,0.0,1.0,0.0,0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lose,0,1.0,0.0,7,17.3,-1.031937303131303,44,FRA,,Lineout,Kick for Touch,15.0
5165,ITA,FRA,2022-02-05,Elite Men International,6 Nations 2022,Opp 50,Lineout,1,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Lose,0,0.0,1.0,6,17.39,-1.0601791597076877,44,FRA,inf,Turnover,Passing Play,15.0
5166,FRA,ITA,2022-02-05,Elite Men International,6 Nations 2022,Own 50,Turnover,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Win,0,0.0,1.0,3,17.39,1.0601791597076877,44,FRA,,Kick fielded,,15.0
5167,ITA,FRA,2022-02-05,Elite Men International,6 Nations 2022,Own 22,Kick fielded,1,1.0,2.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Lose,0,0.0,1.0,2,18.05,-1.2923185263971007,44,FRA,0.5,Lineout,Kick for Touch,20.0
5168,FRA,ITA,2022-02-05,Elite Men International,6 Nations 2022,Opp 50,Lineout,1,3.0,3.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Win,0,0.0,1.0,6,18.71,1.5752876845170678,44,FRA,1.0,Penalty,Pick and Go Short,20.0
5169,ITA,FRA,2022-02-05,Elite Men International,6 Nations 2022,Own 22,Penalty,1,0.0,0.0,1.0,0.0,0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lose,0,1.0,0.0,7,18.98,-1.7081961188103487,44,FRA,,Lineout,Kick for Touch,20.0
5170,ITA,FRA,2022-02-05,Elite Men International,6 Nations 2022,Own 50,Lineout,1,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Lose,0,0.0,1.0,6,19.02,-1.7288179557965397,44,FRA,inf,Turnover,,20.0
5171,FRA,ITA,2022-02-05,Elite Men International,6 Nations 2022,Opp 50,Turnover,1,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Win,0,1.0,0.0,3,22.56,5.0,44,FRA,,Restart,,25.0
5172,FRA,ITA,2022-02-05,Elite Men International,6 Nations 2022,Own 22,Restart,1,1.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Win,0,0.0,1.0,1,23.05,-2.331734214206839,47,ITA,1.0,Lineout,Kick for Touch,25.0
5173,ITA,FRA,2022-02-05,Elite Men International,6 Nations 2022,Opp 50,Lineout,1,7.0,3.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lose,0,1.0,0.0,6,23.89,3.0,47,ITA,2.3333333333333335,Penalty,Passing Play,25.0
5174,ITA,FRA,2022-02-05,Elite Men International,6 Nations 2022,Opp 50,Penalty,1,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lose,0,1.0,0.0,7,23.89,3.0,47,ITA,,Restart,Penalty Goal Attempt,25.0
